text
"#ATENCIÓN, Otra investigación contra abogado #DiegoCadena, ordena la Corte Suprema. Su defensor, penalista… https://t.co/zMiS34ghnw"
"Uribe es la tóxica que cuando la atrapan dice que que está embarazada, pero como el no puede usar la misma excusa,… https://t.co/sPFzZafoOn"
#ÁlvaroUribe con orden de arresto y con Covid-19. ¿Aislamiento o encarcelamiento? ¿Quién da más?
"Hay tienen al #Malayaga 
En fotografía con el ahora convicto #AlvaroUribe 
No que no pues . https://t.co/EyVTjWErvY"
@NoticiasCaracol Algo se trama el señor #AlvaroUribe #Colombia #COVID__19 #virus https://t.co/tLB59BVkvy
Esto escribía #IvanDuque d #AlvaroUribe antes q se convirtiera en su mentor politico. En 1982 Ivan Duque Escobar pa… https://t.co/sHdPBm8CCE
"#opinión | La libertad de Álvaro Uribe Vélez @RobertoRave1
https://t.co/DcksyytkOt
#Colombia #Uribe #AlvaroUribe https://t.co/g30sGZeQrI"
#Colombia: el oficialismo ataca a la Corte Suprema y pretende reformar la Constitución para defender a #ÁlvaroUribe… https://t.co/4liPgeNgP1
¿Cree usted que el ex mandatario podrá superar el #COVID19 teniendo en cuenta que es un paciente asintomático?… https://t.co/jnkIq8FYEC
Ah que tiene un parecido a alguien que también fué muy poderoso?? A quien?? #Matarife #PabloEscobar #AlvaroUribe… https://t.co/m7pMk0nn5J
"celebro que el último caso de Covid en Colombia fue  el de #AlvaroUribe, se acabó la pandemia, la ocupación en las… https://t.co/4K2BuKeww9"
"#Internacionales | Ex presidente #ÁlvaroUribe da positivo para #COVID19

Detalles: https://t.co/riEEocCDjC"
Deberian preguntarle a #IvanDuque porque su papá denunció a #AlvaroUribe cuando lideraba la aerocivil. https://t.co/Pkl4187SNs
"#AlvaroUribe es una muestra que al socialismo no se le perdona ni se coexiste, porque prontamente arremetera contig… https://t.co/OnDvoGBQgF"
"#ExclusivasNotiMundo | @cnnramos, corresponsal de #CNN en #Colombia, indicó que la decisión de la Corte Suprema de… https://t.co/Yc8zszVWsM"
